title,tags,perks,country,location,company,posted,moeda_original,salary_min,salary_max,salary_mean
Opportunities to ensure our orders reach the exchange first (C++ Low-Latency),"c++, low-latency, python, real-time, linux","Visa sponsor, Paid relocation",Australia,Sydney,Optiver Asia Pacific Pty Ltd,2018-11-14 23:42:48.623071,A$,34,64,49.0
Wavy Frontend Developer,"javascript, api, css, html, angularjs",Paid relocation,Brazil,Campinas,Wavy,2018-11-14 23:42:48.623071,-,0,0,0.0
Field Applications Engineer,"c, c++, embedded, rtos, linux",,Japan,Shibuya,Trillium Secure Inc,2018-11-14 23:42:48.623071,-,0,0,0.0
Data Engineer - Engineering Big Data Pipelines and Infrastructure for Anti-Fraud,"python, sql, tensorflow, gis, machine-learning",,Australia,Sydney,FormBay,2018-11-14 22:42:48.623071,A$,22,35,28.5
.NET C# Software Engineer,"java, python, sql",,"Illinois, EUA",Chicago,JP Morgan Chase,2018-11-14 21:42:48.623071,-,0,0,0.0
Senior Software Engineer - Full Stack,"reactjs, node.js, backbone.js, algorithm, artificial-intelligence",Paid relocation,"Carolina do Norte, EUA",Durham,SugarCRM,2018-11-14 21:42:48.623071,-,0,0,0.0
Platform Architect,"ruby-on-rails, ruby, amazon-web-services","Visa sponsor, Paid relocation","Califórnia, EUA",San Francisco,KeepTruckin,2018-11-14 21:42:48.623071,-,0,0,0.0
Senior Software Developer,"c#, javascript, reactjs, .net, html",,"Califórnia, EUA",San Diego,CoStar Group,2018-11-14 21:42:48.623071,-,0,0,0.0
Senior Software Engineer,"ruby-on-rails, ruby, amazon-web-services, postgresql","Visa sponsor, Paid relocation","Califórnia, EUA",San Francisco,KeepTruckin,2018-11-14 21:42:48.638695,-,0,0,0.0
Lead Software Engineer,lead,,OR,Portland,Sitka Technology Group,2018-11-14 21:42:48.638695,-,0,0,0.0
Big Data Software Engineer,"java, python, sql",,"Delaware, EUA",Wilmington,JP Morgan Chase,2018-11-14 19:42:49.138671,-,0,0,0.0
Senior Systems Architect,"windows, amazon-web-services",,"Washington, EUA",Washington,U.S. News & World Report,2018-11-14 21:42:49.138671,-,0,0,0.0
Sr. Software Engineer (Front End),"javascript, reactjs, web-applications",,"Califórnia, EUA",San Francisco,PlayStation,2018-11-14 21:42:49.138671,-,0,0,0.0
Java Software Engineer (looking for Sr. and Jr. candidates),"java, rest, agile",,"Colorado, EUA",Sheridan,EdgeLink,2018-11-14 20:42:49.138671,-,0,0,0.0
